VOCAB
おきます|起きます|get up, wake up
ねます|寝ます|sleep, go to bed
はたらきます|働きます|work
やすみます|休みます|take a rest, take a holiday
べんきょうします|勉強します|study
おわります|終わります|finish
デパート||department store
ぎんこう|銀行|bank
ゆうびんきょく|郵便局|post office
としょかん|図書館|library
びじゅつかん|美術館|art museum
いま|今|now
～じ|～時|～ o'clock
～ふん（～ぷん）|～分|～ minute
はん|半|half
なんじ|何時|what time
なんぷん|何分|what minute
ごぜん|午前|a.m., morning
ごご|午後|p.m., afternoon
あさ|朝|morning
ひる|昼|daytime, noon
ばん（よる）|晩（夜）|night, evening
おととい||the day before yesterday
きのう||yesterday
きょう||today
あした||tomorrow
あさって||the day after tomorrow
けさ||this morning
こんばん|今晩|this evening, tonight
やすみ|休み|rest, a holiday, a day off
ひるやすみ|昼休み|lunchtime
まいあさ|毎朝|every morning
まいばん|毎晩|every night
まいにち|毎日|every day
げつようび|月曜日|Monday
かようび|火曜日|Tuesday
すいようび|水曜日|Wednesday
もくようび|木曜日|Thursday
きんようび|金曜日|Friday
どようび|土曜日|Saturday
にちようび|日曜日|Sunday
なんようび|何曜日|what day of the week
ばんごう|番号|number
なんばん|何番|what number
～から||from ～
～まで||up to ～, until ～
～と～||and (used to connect nouns)
そちら||your place
たいへんですね。|大変ですね。|That's tough, isn't it? (used when expressing sympathy)
えーと||well, let me see
１０４||information, directory assistance
お願いします。||Please. (lit. ask for a favor)
かしこまりました。||Certainly (sir, madam)
お問い合わせの 番号||the number being inquired about
［どうも］ありがとう ございました。||Thank you very much.
PROPER
ニューヨーク||New York
ペキン||Beijing (北京)
ロンドン||London
バンコク||Bangkok
ロサンゼルス||Los Angeles
やまとびじゅつかん|やまと美術館|fictitious art museum
おおさかデパート|大阪デパート|fictitious department store
みどりとしょかん|みどり図書館|fictitious library
アップルぎんこう|アップル銀行|fictitious bank
