VOCAB
たべます|食べます|eat
のみます|飲みます|drink
すいます［たばこを ～］|吸います|smoke [a cigarette]
みます|見ます|see, look at, watch
ききます|聞きます|hear, listen
よみます|読みます|read
かきます|書きます|write, draw, paint
かいます|買います|buy
とります［しゃしんを ～］|撮ります［写真を ～］|take [a photograph]
します||do
あいます［ともだちに ～］|会います［友達に ～］|meet [a friend]
ごはん||a meal, cooked rice
あさごはん|朝ごはん|breakfast
ひるごはん|昼ごはん|lunch
ばんごはん|晩ごはん|supper
パン||bread
たまご|卵|egg
にく|肉|meat
さかな|魚|fish
やさい|野菜|vegetable
くだもの|果物|fruit
みず|水|water
おちゃ|お茶|tea, green tea
こうちゃ|紅茶|black tea
ぎゅうにゅう（ミルク）|牛乳|milk
ジュース||juice
ビール||beer
［お］さけ|［お］酒|alcohol, Japanese rice wine
ビデオ||video tape, video deck
えいが|映画|movie
ＣＤ||CD, compact disc
てがみ|手紙|letter
レポート||report
しゃしん|写真|photograph
みせ|店|store, shop
レストラン||restaurant
にわ|庭|garden
しゅくだい|宿題|homework (～を します: do homework)
テニス||tennis (～を します: play tennis)
サッカー||soccer, football (～を します: play soccer)
［お］はなみ|［お］花見|cherry-blossom viewing (～を します: go cherry-blossom viewing)
なに|何|what
いっしょに||together
ちょっと||a little while, a little bit
いつも||always, usually
ときどき|時々|sometimes
それから||after that, and then
ええ||yes
いいですね。||That's good.
わかりました。||I see.
なんですか。|何ですか。|Yes?
じゃ、また［あした］。||See you [tomorrow].
PROPER
メキシコ||Mexico
おおさかじょうこうえん|大阪城公園|Osaka Castle park
