VOCAB
かんたん［な］|簡単［な］|easy, simple
ちかい|近い|near
とおい|遠い|far
はやい|速い、早い|fast, early
おそい|遅い|slow, late
おおい ［ひとが～］|多い ［人が～］|many [people], much
すくない ［ひとが～］|少ない ［人が～］|few [people], a little
あたたかい|暖かい、温かい|warm
すずしい|涼しい|cool
あまい|甘い|sweet
からい|辛い|hot (taste), spicy
おもい|重い|heavy
かるい|軽い|light
いい ［コーヒーが～］||prefer [coffee]
きせつ|季節|season
はる|春|spring
なつ|夏|summer
あき|秋|autumn, fall
ふゆ|冬|winter
てんき|天気|weather
あめ|雨|rain, rainy
ゆき|雪|snow, snowy
くもり|曇り|cloudy
ホテル||hotel
くうこう|空港|airport
うみ|海|sea, ocean
せかい|世界|world
パーティー||party (～を します: give a party)
［お］まつり|［お］祭り|festival
しけん|試験|examination
すきやき|すき焼き|sukiyaki (beef and vegetable hot pot)
さしみ|刺身|sashimi (sliced raw fish)
［お］すし||sushi (vinegared rice topped with raw fish)
てんぷら||tempura (seafood and vegetables deep fried in batter)
いけばな|生け花|flower arrangement (～を します: practice flower arrangement)
もみじ|紅葉|maple, red leaves of autumn
どちら||which one (between two things)
どちらも||both
ずっと||by far
はじめて|初めて|for the first time
ただいま。||I'm home.
お帰りなさい。||Welcome home.
すごいですね。||That's amazing.
でも||but
疲れました。||(I'm) tired.
PROPER
ぎおんまつり|祇園祭|the Gion Festival, the most famous festival in Kyoto
ホンコン||Hong Kong (香港)
シンガポール||Singapore
まいにちや|毎日屋|fictitious supermarket
ABCストア||fictitious supermarket
ジャパン||fictitious supermarket
