VOCAB
あそびます|遊びます|enjoy oneself, play
およぎます|泳ぎます|swim
むかえます|迎えます|go to meet, welcome
つかれます|疲れます|get tired
だします ［てがみを～］|出します ［手紙を～］|send [a letter]
はいります ［きっさてんに～］|入ります ［喫茶店に～］|enter [a coffee shop]
でます ［きっさてんを～］|出ます ［喫茶店を～］|go out [of a coffee shop]
けっこんします|結婚します|marry, get married
かいものします|買い物します|do shopping
しょくじします|食事します|have a meal, dine
さんぽします ［こうえんを～］|散歩します ［公園を～］|take a walk [in a park]
たいへん［な］|大変［な］|hard, tough, severe, awful
ほしい|欲しい|want (something)
さびしい|寂しい|lonely
ひろい|広い|wide, spacious
せまい|狭い|narrow, small (room, etc.)
しやくしょ|市役所|municipal office, city hall
プール||swimming pool
かわ|川|river
けいざい|経済|economy
びじゅつ|美術|fine arts
つり|釣り|fishing (～を します: fish, angle)
スキー||skiing (～を します: ski)
かいぎ|会議|meeting, conference (～を します: hold a conference)
とうろく|登録|registration (～を します: register)
しゅうまつ|週末|weekend
～ごろ||about (time)
なにか|何か|something
どこか||somewhere, some place
おなかが すきました。||(I'm) hungry.
おなかが いっぱいです。||(I'm) full.
のどが かわきました。||(I'm) thirsty.
そうですね。||I agree with you.
そう しましょう。||Let's do that. (used when agreeing with someone's suggestion)
ご注文は？||May I take your order?
定食||set meal
牛どん||bowl of rice topped with beef
［少々］ お待ちください。||Please wait [a moment].
別々に||separately
PROPER
ロシア||Russia
つるや||fictitious Japanese restaurant
おはようテレビ||fictitious TV program
