VOCAB
おぼえます|覚えます|memorize
わすれます|忘れます|forget
なくします||lose
だします [レポートを～]|出します|hand in [a report]
はらいます|払います|pay
かえします|返します|give back, return
でかけます|出かけます|go out
ぬぎます|脱ぎます|take off (clothes, shoes, etc.)
もっていきます|持って行きます|take (something)
もってきます|持って来ます|bring (something)
しんぱいします|心配します|worry
ざんぎょうします|残業します|work overtime
しゅっちょうします|出張します|go on a business trip
のみます [くすりを～]|飲みます [薬を～]|take [medicine]
はいります [おふろに～]|入ります|take [a bath]
たいせつ[な]|大切[な]|important, precious
だいじょうぶ[な]|大丈夫[な]|all right
あぶない|危ない|dangerous
もんだい|問題|question, problem, trouble
こたえ|答え|answer
きんえん|禁煙|no smoking
[けんこう]ほけんしょう|[健康]保険証|[health] insurance card
かぜ||cold, flu
ねつ|熱|fever
びょうき|病気|illness, disease
くすり|薬|medicine
[お]ふろ||bath
うわぎ|上着|jacket, outerwear
したぎ|下着|underwear
せんせい|先生|doctor (used when addressing a medical doctor)
2、3にち|2、3日|a few days
2、3～||a few ～ (～ is a counter suffix)
～までに||before ～, by ～ (indicating time limit)
ですから||therefore, so
どうしましたか。||What's the matter?
[～が]いたいです。|[～が]痛いです。|(I) have a pain [in my ～].
のど||throat
おだいじに。|お大事に。|Take care of yourself. (said to people who are ill)
