VOCAB
のぼります [やまに～]|登ります [山に～]|climb [a mountain]
とまります [ホテルに～]|泊まります|stay [at a hotel]
そうじします|掃除します|clean (a room)
せんたくします|洗濯します|wash (clothes)
れんしゅうします|練習します|practice
なります||become
ねむい|眠い|sleepy
つよい|強い|strong
よわい|弱い|weak
ちょうしがいい|調子がいい|be in good condition
ちょうしがわるい|調子が悪い|be in bad condition
ちょうし|調子|condition
ゴルフ||golf (～をします: play golf)
すもう|相撲|sumo wrestling
パチンコ||pinball game (～をします: play pachinko)
おちゃ|お茶|tea ceremony
ひ|日|day, date
いちど|一度|once
いちども|一度も|not once, never (used with negatives)
だんだん||gradually
もうすぐ||soon
おかげさまで||Thank you. (used when expressing gratitude for help received)
かんぱい|乾杯|Bottoms up./Cheers!
じつは|実は|actually, to tell the truth
ダイエット||diet (～をします: go on a diet)
なんかいも|何回も|many times
しかし||but, however
むり[な]|無理[な]|excessive, impossible
からだに いい|体にいい|good for one's health
ケーキ||cake
PROPER
かつしか ほくさい|葛飾北斎|famous Edo period wood block artist and painter (1760-1849)
