VOCAB
うんどうします III|運動します|take exercise
せいこうします III|成功します|succeed
しっぱいします III ［しけんに ～］|失敗します ［試験に ～］|fail [an examination]
ごうかくします III ［しけんに ～］|合格します ［試験に ～］|pass [an examination]
もどります I|戻ります|return
やみます I ［あめが ～］|やみます ［雨が ～］|[rain] stop
はれます II|晴れます|clear up
くもります I|曇ります|get cloudy
ふきます I ［かぜが ～］|吹きます ［風が ～］|[wind] blow
なおります I ［びょうきが ～］|治ります ［病気が ～］|recover from [sickness], get well
なおります I ［こしょうが ～］|直ります ［故障が ～］|be fixed, be repaired
つづきます I ［ねつが ～］|続きます ［熱が ～］|[high temperature] continue
ひきます I ［かぜを ～］||catch [a cold]
ひやします I|冷やします|cool
しんぱい[な]|心配[な]|worried, anxious
じゅうぶん[な]|十分[な]|enough, sufficient
おかしい||strange, funny
うるさい||noisy
やけど||burning (～を します: get burned)
けが||injury (～を します: get injured)
せき||cough (～が でます: have a cough)
インフルエンザ||influenza
そら|空|sky
たいよう|太陽|sun
ほし|星|star
つき|月|moon
かぜ|風|wind
きた|北|north
みなみ|南|south
にし|西|west
ひがし|東|east
すいどう|水道|faucet, tap, water supply
エンジン||engine
チーム||team
こんや|今夜|this evening
ゆうがた|夕方|late afternoon
まえ||a time in the past, before
おそく|遅く|late (time)
こんなに||like this
そんなに||like that (concerning a matter related to the listener)
あんなに||like that (concerning a matter not related to the speaker or the listener), that much
もしかしたら||possibly, perhaps
それは いけませんね。||That's too bad.
げんき|元気|vigor
い|胃|stomach
はたらきすぎ|働きすぎ|working too much
ストレス||stress
むりを します III|無理を します|work more than one's capacity
ゆっくり します III||take one's time
ほしうらない|星占い|horoscope
おうしざ|牡牛座|Taurus
こまります I|困ります|be in trouble, have a problem
たからくじ|宝くじ|lottery
あたります I ［たからくじが ～］|当たります ［宝くじが ～］|win [a lottery]
けんこう|健康|health
れんあい|恋愛|romantic love
こいびと|恋人|sweetheart, boyfriend, girlfriend
[お]かねもち|[お]金持ち|rich person
PROPER
オリンピック||Olympic Games
