VOCAB
にげます II|逃げます|run away
さわぎます I|騒ぎます|make a noise
あきらめます II||give up
なげます II|投げます|throw
まもります I|守ります|keep, follow, obey
あげます II|上げます|raise, lift up
さげます II|下げます|lower, pull down
つたえます II|伝えます|convey (a message)
ちゅういします III ［くるまに ～］|注意します ［車に ～］|be careful [of the cars]
はずします I ［せきを ～］|外します ［席を ～］|be away [from one's desk]
だめ[な]||no good, not permitted, impossible
せき|席|seat
ファイト||fight
マーク||mark
ボール||ball
せんたくき|洗濯機|washing machine
～き|～機|～ machine
きそく|規則|regulation, rule
しようきんし|使用禁止|Do not use.
たちいりきんし|立入禁止|Keep out.
いりぐち|入口|entrance
でぐち|出口|exit
ひじょうぐち|非常口|emergency exit
むりょう|無料|free of charge
ほんじつきゅうぎょう|本日休業|closed today
えいぎょうちゅう|営業中|open for business
しようちゅう|使用中|in use
～ちゅう|～中|～ ing
どういう ～||what kind of ～
もう||(not) any longer (used with negatives)
あと ～||～ left
ちゅうしゃいはん|駐車違反|parking violation
そりゃあ||well
～いない|～以内|within ～
けいさつ|警察|police station
ばっきん|罰金|fine
でんぽう|電報|telegram
ひとびと|人々|people
きゅうよう|急用|urgent business
うちます I ［でんぽうを ～］|打ちます ［電報を ～］|send [a telegram]
でんぽうだい|電報代|telegram charge
できるだけ||as much as possible
みじかく|短く|shortly, briefly
また||and
たとえば|例えば|for example
キトク|危篤|in a critical condition
おもい びょうき|重い 病気|serious illness
あす|明日|tomorrow
るす|留守|absence
るすばん|留守番|looking after a house during the owner's absence
[お]いわい|[お]祝い|celebration
なくなります I|亡くなります|pass away, die
かなしみ|悲しみ|sorrow, sadness
りようします III|利用します|use
