VOCAB
ほめます II|褒めます|praise
しかります I||scold
さそいます I|誘います|invite, ask someone to join
おこします I|起こします|wake (someone) up
しょうたいします III|招待します|invite
たのみます I|頼みます|ask, request
ちゅういします III|注意します|warn, advise
とります I||rob, steal
ふみます I|踏みます|step on (someone's foot)
こわします I|壊します|break, destroy
よごします I|汚します|make ～ dirty
おこないます I|行います|hold, carry out, practice
ゆしゅつします III|輸出します|export
ゆにゅうします III|輸入します|import
ほんやくします III|翻訳します|translate
はつめいします III|発明します|invent
はっけんします III|発見します|discover
せっけいします III|設計します|design, plan
こめ|米|rice
むぎ|麦|barley, wheat
せきゆ|石油|oil
げんりょう|原料|raw material
デート||date
どろぼう|泥棒|thief, robber
けいかん|警官|policeman
けんちくか|建築家|architect
かがくしゃ|科学者|scientist
まんが|漫画|cartoon
せかいじゅう|世界中|all over the world
～じゅう|～中|all over ～
～に よって||by ～
よかったですね。||That's lucky, isn't it?
うめたてます II|埋め立てます|reclaim
ぎじゅつ|技術|technology, technique
とち|土地|land
そうおん|騒音|noise
りようします III|利用します|use
アクセス||access
～せいき|～世紀|-th century
ごうか[な]|豪華[な]|gorgeous
ちょうこく|彫刻|engraving, carving, sculpture
ねむります I|眠ります|sleep
ほります I|彫ります|engrave, carve
なかま|仲間|colleague, friend
その あと||after that
いっしょうけんめい|一生懸命|with all one's effort
ねずみ||mouse
いっぴきも いません。|一匹も いません。|There is not a single (mouse).
PROPER
ドミニカ||Dominica
ライトきょうだい|ライト兄弟|Wright brothers, American pioneers in aviation Wilbur Wright (1867-1912) Orville Wright (1871-1948)
げんじものがたり|源氏物語|"The Tale of Genji" (Japanese novel)
むらさきしきぶ|紫式部|Heian Period (9th century) female novelist who wrote "The Tale of Genji" (973?-1014?)
グラハム・ベル||Alexander Graham Bell, American inventor (1847-1922)
とうしょうぐう|東照宮|shrine dedicated to Tokugawa Ieyasu in Nikko, Tochigi Prefecture
えどじだい|江戸時代|Edo Period (1603-1868)
サウジアラビア||Saudi Arabia
ねむりねこ|眠り猫|The Sleeping Cat
ひだりじんごろう|左甚五郎|famous Japanese sculptor of the Edo Period (1594-1651)
