VOCAB
こたえます II ［しつもんに ～］|答えます ［質問に ～］|answer [a question]
たおれます II ［ビルが ～］|倒れます|[a building] fall down
やけます II ［うちが ～］|焼けます|[a house] burn down
やけます II ［パンが ～］|焼けます|[bread] be baked
やけます II ［にくが ～］|焼けます ［肉が ～］|[meat] be roasted, be grilled
とおります I ［みちを ～］|通ります ［道を ～］|pass [along a street]
しにます I|死にます|die
びっくりします III||be surprised
がっかりします III||be disappointed
あんしんします III|安心します|be relieved
ちこくします III|遅刻します|be late, come late
そうたいします III|早退します|leave (work or school) earlier than usual
けんかします III||quarrel, fight
りこんします III|離婚します|divorce
ふくざつ[な]|複雑[な]|complicated, complex
じゃま[な]|邪魔[な]|obstructive, in the way
きたない|汚い|dirty
うれしい||glad, happy
かなしい|悲しい|sad
はずかしい|恥ずかしい|embarrassed, ashamed
じしん|地震|earthquake
たいふう|台風|typhoon
かじ|火事|fire
じこ|事故|accident
[お]みあい|[お]見合い|interview with a view to marriage
でんわだい|電話代|telephone charge
～だい|～代|charge, fare, fee
フロント||front desk, reception desk
～ごうしつ|～号室|room number ～
あせ|汗|perspiration (～を かきます: perspire)
タオル||towel
せっけん||soap
おおぜい|大勢|a great number of people
おつかれさまでした。|お疲れさまでした。|Thank you for your hard work. (used to express appreciation for a colleague's or subordinate's work)
うかがいます。|伺います。|I'm coming. (humble way of saying いきます)
とちゅうで|途中で|on the way, in the midst of
トラック||truck, lorry
ぶつかります I||bump, collide
ならびます I|並びます|stand in a queue, line up
おとな|大人|adult
ようふく|洋服|Western clothes
せいようかします III|西洋化します|be Westernized
あいます I|合います|fit, suit
いまでは|今では|now
せいじんしき|成人式|coming-of-age celebration
