VOCAB
やきます I|焼きます|bake, grill, roast
わたします I|渡します|hand over
かえって きます III|帰って 来ます|come back
でます II ［バスが ～］|出ます|[a bus] leave, depart
るす|留守|absence
たくはいびん|宅配便|delivery service
げんいん|原因|cause
ちゅうしゃ|注射|injection
しょくよく|食欲|appetite
パンフレット||pamphlet
ステレオ||stereo
こちら||my place, my side
～の ところ|～の 所|the place around ～
ちょうど||just, exactly
たったいま|たった今|just now (used with the past tense; indicates completion)
いま いいでしょうか。|今 いいでしょうか。|May I bother you now?
ガスサービスセンター||gas service center
ガスレンジ||gas range, gas cooker
ぐあい|具合|condition
どちらさまでしょうか。|どちら様でしょうか。|Who is this, please?
むかいます I|向かいます|head for
おまたせしました。|お待たせしました。|Sorry to have kept you waiting.
ちしき|知識|knowledge
ほうこ|宝庫|treasury
てに はいります I ［じょうほうが ～］|手に 入ります ［情報が ～］|[information] come in, reach
システム||system
たとえば|例えば|for example
キーワード||key word
いちぶぶん|一部分|one part
にゅうりょくします III|入力します|input
びょう|秒|second
でます II ［ほんが ～］|出ます ［本が ～］|[a book] be published
