VOCAB
いきます|行きます|go
きます|来ます|come
かえります|帰ります|go home, return
がっこう|学校|school
スーパー||supermarket
えき|駅|station
ひこうき|飛行機|airplane
ふね|船|ship
でんしゃ|電車|electric train
ちかてつ|地下鉄|subway, underground
しんかんせん|新幹線|the Shinkansen, the bullet train
バス||bus
タクシー||taxi
じてんしゃ|自転車|bicycle
あるいて|歩いて|on foot
ひと|人|person, people
ともだち|友達|friend
かれ|彼|he, boyfriend, lover
かのじょ|彼女|she, girlfriend, lover
かぞく|家族|family
ひとりで|一人で|alone, by oneself
せんしゅう|先週|last week
こんしゅう|今週|this week
らいしゅう|来週|next week
せんげつ|先月|last month
こんげつ|今月|this month
らいげつ|来月|next month
きょねん|去年|last year
ことし||this year
らいねん|来年|next year
～がつ|～月|-th month of the year
なんがつ|何月|what month
ついたち|1日|first day of the month
ふつか|2日|second, two days
みっか|3日|third, three days
よっか|4日|fourth, four days
いつか|5日|fifth, five days
むいか|6日|sixth, six days
なのか|7日|seventh, seven days
ようか|8日|eighth, eight days
ここのか|9日|ninth, nine days
とおか|10日|tenth, ten days
じゅうよっか|14日|fourteenth, fourteen days
はつか|20日|twentieth, twenty days
にじゅうよっか|24日|twenty fourth, twenty four days
～にち|～日|-th day of the month, ～ days
なんにち|何日|which day of the month, how many days
いつ||when
たんじょうび|誕生日|birthday
ふつう|普通|local (train)
きゅうこう|急行|rapid
とっきゅう|特急|express
つぎの|次の|next
どう いたしまして。||You're welcome./Don't mention it.
～番線||platform ～, -th platform
PROPER
はかた|博多|name of a town in Kyushu
ふしみ|伏見|name of a town in Kyoto
こうしえん|甲子園|name of a town near Osaka
おおさかじょう|大阪城|Osaka Castle, a famous castle in Osaka
