VOCAB
きります|切ります|cut, slice
おくります|送ります|send
あげます||give
もらいます||receive
かします|貸します|lend
かります|借ります|borrow
おしえます|教えます|teach
ならいます|習います|learn
かけます［でんわを ～］|かけます ［電話を ～］|make [a telephone call]
て|手|hand, arm
はし||chopsticks
スプーン||spoon
ナイフ||knife
フォーク||fork
はさみ||scissors
ファクス||fax
ワープロ||word processor
パソコン||personal computer
パンチ||punch
ホッチキス||stapler
セロテープ||Scotch tape, clear adhesive tape
けしゴム|消しゴム|eraser
かみ|紙|paper
はな|花|flower, blossom
シャツ||shirt
プレゼント||present, gift
にもつ|荷物|baggage, parcel
おかね|お金|money
きっぷ|切符|ticket
クリスマス||Christmas
ちち|父|(my) father
はは|母|(my) mother
おとうさん|お父さん|(someone else's) father
おかあさん|お母さん|(someone else's) mother
もう||already
まだ||not yet
これから||from now on, soon
［～、］すてきですね。||What a nice [～]!
ごめんください。||Excuse me./Anybody home?/May I come in? (an expression used by a visitor)
いらっしゃい。||How nice of you to come. (lit. Welcome.)
どうぞ おあがり ください。|どうぞ お上がり ください。|Do come in.
しつれいします。|失礼します。|Thank you./May I? (lit. I'm afraid I'll be disturbing you.)
［～は］いかがですか。||Won't you have [～]?/Would you like to have [～]? (used when offering something)
いただきます。||Thank you./I accept. (said before starting to eat or drink)
りょこう|旅行|trip, tour (～を します: travel, make a trip)
おみやげ|お土産|souvenir, present
PROPER
ヨーロッパ||Europe
スペイン||Spain
