VOCAB
のります I|乗ります|get on
おります I|降ります|get off
のりかえます II|乗り換えます|change, transfer
あびます II|浴びます|take (a shower)
いれます II|入れます|pour, put in
だします I|出します|take out
おろします I|下ろします|put down
はいります I|入ります|enter, join
でます II|出ます|leave, go out
おします I|押します|push
のみます I|飲みます|drink
はじめます II|始めます|start
けんがくします III|見学します|tour, observe
でんわします III|電話します|call
わかい|若い|young
ながい|長い|long
みじかい|短い|short
あかるい|明るい|bright
くらい|暗い|dark
からだ|体|body
あたま|頭|head
かみ|髪|hair
かお|顔|face
め|目|eyes
みみ|耳|ear
はな|鼻|nose
くち|口|mouth
は|歯|tooth
おなか||stomach
あし|足|foot, leg
せなか|背中|back
サービス||service
ジョギング||jogging
シャワー||shower
みどり|緑|green
おてら|お寺|temple
じんじゃ|神社|shrine
～ばん|～番|No. ~
どうやって||how
PROPER
JR||Japan Railway
アジア||Asia
バンドン||Bandung (in Indonesia)
ベラクルス||Veracruz (in Mexico)
フランケン||Franken (in Germany)
ベトナム||Vietnam
フエ||Hue (in Vietnam)
だいがくまえ|大学前|fictitious bus stop
