VOCAB
いります [ビザが～]|要ります|need, require [a visa]
しらべます|調べます|check, investigate
なおします|直します|repair, correct
しゅうりします|修理します|repair
でんわします|電話します|phone
ぼく|僕|I (an informal equivalent of わたし used by men)
きみ|君|you (an informal equivalent of あなた used by men)
～くん|～君|Mr. (an informal equivalent of ～さん used by men)
うん||yes (an informal equivalent of はい)
ううん||no (an informal equivalent of いいえ)
サラリーマン||salaried worker, office worker
ことば||word, language
ぶっか|物価|commodity prices
きもの|着物|kimono (traditional Japanese attire)
ビザ||visa
はじめ|初め|the beginning
おわり|終わり|the end
こっち||this way, this place (an informal equivalent of こちら)
そっち||this way, that place (an informal equivalent of そちら)
あっち||this way, that place over there (an informal equivalent of あちら)
どっち||which one (between two things), which way, where (an informal equivalent of どちら)
このあいだ|この間|the other day
みんなで||all together
～けど||～, but (an informal equivalent of が)
くにへ かえるの？|国へ帰るの？|Are you going back to your country?
どうするの？||What will you do?
どうしようかな。||What shall I do?
よかったら||if you like
いろいろ||various
