VOCAB
かんがえます II|考えます|think, consider
つきます I ［えきに ～］|着きます ［駅に ～］|arrive [at the station]
りゅうがくします III|留学します|study abroad
とります I ［としを ～］|取ります ［年を ～］|grow old
いなか|田舎|countryside, hometown
たいしかん|大使館|embassy
グループ||group
チャンス||chance
おく|億|hundred million
もし ［～たら］||if ～
いくら ［～ても］||however ～, even if ～
転勤||transfer (～します: be transferred to another office)
こと||thing, matter (～の こと: thing about ～)
一杯 飲みましょう。||Let's have a drink together.
［いろいろ］お世話に なりました。||Thank you for everything you have done for me.
頑張ります I||do one's best
どうぞ お元気で。||Best of luck. (said when expecting a long separation)
