VOCAB
みます II|見ます、診ます|check
さがします I|探します、捜します|look for, search
おくれます II ［じかんに ～］|遅れます ［時間に ～］|be late [for an appointment, etc.]
まに あいます I ［じかんに ～］|間に 合います ［時間に ～］|be in time [for an appointment, etc.]
やります I||do
さんかします III ［パーティーに ～］|参加します|attend [a party]
もうしこみます I|申し込みます|apply for, enter for
つごうが いい|都合が いい|convenient (concerning time)
つごうが わるい|都合が 悪い|inconvenient (concerning time)
きぶんが いい|気分が いい|feel well
きぶんが わるい|気分が 悪い|feel ill
しんぶんしゃ|新聞社|newspaper publishing company, newspaper office
じゅうどう|柔道|judo
うんどうかい|運動会|athletic meeting
ばしょ|場所|place
ボランティア||volunteer
～べん|～弁|～ dialect
こんど|今度|next time, another time
ずいぶん||pretty, very
ちょくせつ|直接|directly
いつでも||any time
どこでも||anywhere
だれでも||anybody
なんでも|何でも|anything
こんな ～||～ like this
そんな ～||～ like that (near the listener)
あんな ～||～ like that (far from both the speaker and the listener)
かたづきます I ［にもつが ～］|片づきます ［荷物が ～］|[boxes] be put in order
ごみ||garbage, trash, dust
だします I ［ごみを ～］|出します ［ごみを ～］|put out [the trash]
もえます II ［ごみが ～］|燃えます ［ごみが ～］|[trash] burn
げつ・すい・きん|月・水・金|Monday, Wednesday and Friday
おきば|置き場|place where something is put
よこ|横|side
びん|瓶|bottle
かん|缶|can
［お］ゆ|［お］湯|hot water
ガス||gas
～かいしゃ|～会社|～ company
れんらくします III|連絡します|contact
こまったなあ。|困ったなあ。|What shall I do?
でんしメール|電子メール|electronic mail
うちゅう|宇宙|space, universe
こわい|怖い|be afraid of
うちゅうせん|宇宙船|spaceship
べつの|別の|another
うちゅうひこうし|宇宙飛行士|astronaut
PROPER
NHK||Nippon Hoso Kyokai (broadcasting company)
こどもの ひ|こどもの 日|Children's Day
エドヤストア||fictitious store
どい たかお|土井 隆雄|Japanese astronaut (1955- )
