VOCAB
うれます II ［パンが ～］|売れます|[bread] sell, be sold
おどります I|踊ります|dance
かみます I||chew, bite
えらびます I|選びます|choose
ちがいます I|違います|be different
かよいます I ［だいがくに ～］|通います ［大学に ～］|go to and from [university]
メモします III||take a memo
まじめ［な］||serious
ねっしん［な］|熱心［な］|earnest
やさしい|優しい|gentle, kind
えらい|偉い|great, admirable
ちょうど いい||proper, just right
しゅうかん|習慣|custom
けいけん|経験|experience
ちから|力|power
にんき|人気|popularity (［がくせいに］～が あります: be popular [with students])
かたち|形|form, shape
いろ|色|color
あじ|味|taste
ガム||chewing gum
しなもの|品物|goods
ねだん|値段|price
きゅうりょう|給料|salary
ボーナス||bonus
ばんぐみ|番組|program
ドラマ||drama
しょうせつ|小説|novel
しょうせつか|小説家|novelist
かしゅ|歌手|singer
かんりにん|管理人|janitor
むすこ|息子|(my) son
むすこさん|息子さん|(someone else's) son
むすめ|娘|(my) daughter
むすめさん|娘さん|(someone else's) daughter
じぶん|自分|oneself
しょうらい|将来|future
しばらく||a little while
たいてい||usually, mostly
それに||in addition
それで||and so
［ちょっと］おねがいが あるんですが。|［ちょっと］お願いが あるんですが。|I have a favor to ask.
ホームステイ||homestay
かいわ|会話|conversation
おしゃべりします III||chat
おしらせ|お知らせ|notice
ひにち|日にち|date
ど|土|Saturday
たいいくかん|体育館|gymnasium
むりょう|無料|free of charge
