VOCAB
ひらきます I|開きます|open (intransitive)
しまります I|閉まります|close (intransitive)
つきます I||turn on (intransitive)
きえます II|消えます|turn off (intransitive)
こわれます II|壊れます|break (intransitive)
われます II|割れます|break, shatter (intransitive)
おれます II|折れます|break, snap (intransitive)
やぶれます II|破れます|tear, rip (intransitive)
よごれます II|汚れます|get dirty (intransitive)
つきます I|付きます|attach (intransitive)
はずれます II|外れます|come off, detach (intransitive)
とまります I|止まります|stop (intransitive)
まちがえます II|間違えます|make a mistake
おとします I|落とします|drop
かかります I|掛かります|lock (intransitive)
ふきます I||wipe
とりかえます II|取り替えます|replace
かたづけます II|片付けます|clean up
おさら|お皿|dishes
おちゃわん||rice bowl
コップ||cup, glass
ガラス||glass
ふくろ|袋|bag
しょるい／しりょう|書類／資料|documents / materials
えだ|枝|branch
えきいん|駅員|station staff
こうばん|交番|police box
スピーチ||speech
へんじ|返事|response
PROPER
よつや|四ツ谷|name of a station in Tokyo
さんのみや|三宮|name of a place in Kobe
