VOCAB
つづけます II|続けます|continue
みつけます II|見つけます|find
やすみをとります I|休みを取ります|take a day off
テストをうけます II|テストを受けます|take a test
もうしこみます I|申し込みます|apply
きゅうけいします III|休憩します|take a rest
れんきゅう|連休|consecutive holidays
さくぶん|作文|essay
はっぴょう|発表|presentation
てんらんかい|展覧会|exhibition
けっこんしき|結婚式|wedding
おそうしき|お葬式|funeral
しき|式|ceremony
ほんしゃ|本社|head office
してん|支店|branch office
きょうかい|教会|church
だいがくいん|大学院|graduate school
どうぶつえん|動物園|zoo
おんせん|温泉|hot spring
かえり|帰り|the way back
おこさん|お子さん|(your) child
～のほう|～の方|in the direction of ~
ずっと||all the time
バリ||Bali
PROPER
ピカソ||Pablo Picasso, Spanish painter (1881-1973)
うえのこうえん|上野公園|Ueno Park (in Tokyo)
