VOCAB
にげます II|逃げます|run away
さわぎます I|騒ぎます|make noise
あきらめます II|諦めます|give up
なげます II|投げます|throw
まもります I|守ります|protect
はじめます II|始めます|start
しゅっせきします III|出席します|attend
つたえます II|伝えます|inform
ちゅういします III|注意します|be careful
はずします I|外します|leave one's seat
もどります I|戻ります|return
あります I||there is
リサイクルします III||recycle
だめな||no good, not allowed
おなじ|同じ|same
けいさつ|警察|police
せき|席|seat
マーク||mark, sign, symbol
ボール||ball
しめきり|締め切り|deadline
きそく|規則|rule
きけん|危険|danger
しようきんし|使用禁止|do not use
たちいりきんし|立入禁止|no entry
じょこう|徐行|slow down
いりぐち|入口|entrance
でぐち|出口|exit
ひじょうぐち|非常口|emergency exit
むりょう|無料|free (of charge)
わりびき|割引|discount
のみほうだい|飲み放題|all-you-can-drink
しようちゅう|使用中|in use, occupied
ぼしゅうちゅう|募集中|now hiring
