VOCAB
さきます I|咲きます|bloom
かわります I|変わります|change
こまります I|困ります|have trouble
つけます II|付けます|mark
なおります I|治ります／直ります|get better
クリックします III||click
にゅうりょくします III|入力します|input
ただしい|正しい|correct
むこう|向こう|over there
しま|島|island
みなと|港|port
きんじょ|近所|neighborhood
おくじょう|屋上|rooftop
かいがい|海外|overseas
やまのぼり|山登り|mountain climbing
れきし|歴史|history
きかい|機会|opportunity
きょか|許可|permission
まる|丸|circle
ふりがな／かんじ|ふりがな／漢字|furigana / kanji
せつび|設備|facilities
レバー||lever
キー／かぎ||key
カーテン||curtain
ひも||string
すいはんき|炊飯器|rice cooker
は|葉|leaf
むかし|昔|in the past
もっと||more
これでおわりましょう。|これで終わりましょう。|Let's finish here.
PROPER
はこね|箱根|resort in Kanagawa Prefecture
にっこう|日光|tourist spot in Tochigi Prefecture
はくば|白馬|resort in Nagano Prefecture
アフリカ||Africa
くさつ|草津|resort in Gunma Prefecture
しがこうげん|志賀高原|national park in Nagano Prefecture
