VOCAB
ほめます II|褒めます|praise
しかります I||scold
さそいます I|誘います|invite (casual)
しょうたいします III|招待します|invite (formal)
たのみます I|頼みます|ask
ちゅういします III|注意します|warn
とります I|盗ります|steal
ふみます I|踏みます|step on
こわします I|壊します|break
よごします I|汚します|dirty
おこないます I|行います|conduct
ゆしゅつします III|輸出します|export
ゆにゅうします III|輸入します|import
ほんやくします III|翻訳します|translate
はつめいします III|発明します|invent
はっけんします III|発見します|discover
こめ|米|rice
むぎ|麦|wheat
せきゆ|石油|oil
げんりょう|原料|raw material
インスタントラーメン||instant ramen
デート||date
どろぼう|泥棒|thief
けいかん|警官|police officer
せかいじゅう|世界中|all over the world
～せいき|～世紀|century
なんご|何語|what language
だれか||someone
よかったですね||that's good!
オリンピック||Olympics
ワールドカップ||World Cup
だいぶつ|大仏|Great Buddha
えどじだい|江戸時代|Edo period
ポルトガル||Portugal
サウジアラビア||Saudi Arabia
ロシア||Russia
PROPER
ドミニカ||Dominica
ライトきょうだい|ライト兄弟|Wright brothers, American pioneers in aviation Wilbur Wright (1867-1912) Orville Wright (1871-1948)
げんじものがたり|源氏物語|"The Tale of Genji" (Japanese novel)
むらさきしきぶ|紫式部|Heian Period (9th century) female novelist who wrote "The Tale of Genji" (973?-1014?)
グラハム・ベル||Alexander Graham Bell, American inventor (1847-1922)
とうしょうぐう|東照宮|shrine dedicated to Tokugawa Ieyasu in Nikko, Tochigi Prefecture
えどじだい|江戸時代|Edo Period (1603-1868)
サウジアラビア||Saudi Arabia
ねむりねこ|眠り猫|The Sleeping Cat
ひだりじんごろう|左甚五郎|famous Japanese sculptor of the Edo Period (1594-1651)
