VOCAB
そだてます II|育てます|breed, bring up
はこびます I|運びます|carry, transport
なくなります I|亡くなります|pass away (euphemistic expression for しにます (L. 39))
にゅういんします III|入院します|enter hospital
たいいんします III|退院します|leave hospital
いれます II ［でんげんを ～］|入れます ［電源を ～］|turn on [the power switch]
きります I ［でんげんを ～］|切ります ［電源を ～］|turn off [the power switch]
かけます II ［かぎを ～］|掛けます|lock
きもちが いい|気持ちが いい|pleasant, agreeable
きもちが わるい|気持ちが 悪い|unpleasant, disgusting
おおきな ～|大きな ～|large ～
ちいさな ～|小さな ～|small ～
あかちゃん|赤ちゃん|baby
しょうがっこう|小学校|elementary school
ちゅうがっこう|中学校|junior high school
えきまえ|駅前|the area in front of the station
かいがん|海岸|seaside, seashore
うそ||lie, fib
しょるい|書類|document, papers
でんげん|電源|power switch
～せい|～製|made in ～
［あ、］いけない。||Oops!/ Oh, no! (used when one has made a mistake)
おさきに ［しつれいします］。|お先に ［失礼します］。|Excuse me (for leaving before you).
かいらん|回覧|circular, sending round
けんきゅうしつ|研究室|study room, professor's office, laboratory
きちんと||neatly, tidily
せいりします III|整理します|put (things) in order, tidy up
～と いう ほん|～と いう 本|the book titled ～, the book named ～
～さつ|～冊|(counter for books, etc.)
はんこ||seal stamp
おします I ［はんこを ～］|押します|affix [a seal]
ふたご|双子|twins
しまい|姉妹|sisters
5ねんせい|5年生|fifth grade, fifth year
にて います II|似て います|resemble, be like
せいかく|性格|character
おとなしい||quiet
せわを します III|世話を します|take care
じかんが たちます I|時間が たちます|time pass by
だいすき[な]|大好き[な]|like very much
～てん|～点|～ points
クラス||class
けんかします III||quarrel, fight
ふしぎ[な]|不思議[な]|mysterious, strange
PROPER
げんばくドーム|原爆ドーム|dome commemorating the atomic bombing of Hiroshima
