VOCAB
ふえます II ［ゆしゅつが～］|増えます ［輸出が～］|[exports] increase
へります I ［ゆしゅつが～］|減ります ［輸出が～］|[exports] decrease
あがります I ［ねだんが～］|上がります ［値段が～］|[the price] rise
さがります I ［ねだんが～］|下がります ［値段が～］|[the price] fall
きれます II ［ひもが～］|切れます|[a string] break, snap
とれます II ［ボタンが～］||[a button] come off
おちます II ［にもつが～］|落ちます ［荷物が～］|[baggage] fall down
なくなります I ［ガソリンが～］||[petrol, gasoline] run out, be lost
じょうぶ[な]|丈夫[な]|strong, healthy
へん[な]|変[な]|strange, peculiar
しあわせ[な]|幸せ[な]|happy
うまい||tasty, good at
まずい||not tasty
つまらない||boring, uninteresting
ガソリン||petrol, gasoline
ひ|火|fire
だんぼう|暖房|heating
れいぼう|冷房|air-conditioning
センス||taste, sense (［ふくの］ ～が あります: have good taste [in clothing])
いまにも|今にも|at any moment (used to describe a situation just before it changes)
わあ||Oh!/ Wow!
かいいん|会員|member
てきとう[な]|適当[な]|suitable, proper
ねんれい|年齢|age
しゅうにゅう|収入|income
ぴったり||exactly, just right
そのうえ||in addition to that, moreover
～と いいます||(one's name) is ～
ばら||rose
ドライブ||driving
