VOCAB
おろします I|降ろします、下ろします|put down, lower
とどけます II|届けます|deliver, report
せわを します III|世話を します|take care of ～
いや［な］|嫌［な］|unwilling, reluctant
きびしい|厳しい|strict, hard
じゅく|塾|cram school
スケジュール||schedule
せいと|生徒|pupil
もの|者|person (referring to one's relatives or subordinates)
にゅうかん|入管|Immigration Bureau
さいにゅうこくビザ|再入国ビザ|re-entry visa
じゆうに|自由に|freely
～かん|～間|for ～ (referring to duration)
いい ことですね。||That's good.
おいそがしいですか。|お忙しいですか。|Are you busy? (used when talking to someone senior or older)
ひさしぶり|久しぶり|after a long time
えいぎょう|営業|business, sales
それまでに||by that time
かまいません。||It's all right./It doesn't matter.
たのしみます I|楽しみます|enjoy oneself
もともと||originally
～せいき|～世紀|-th century
かわりを します III|代わりを します|be a substitute, be a replacement
スピード||speed
きょうそうします III|競走します|race
サーカス||circus
げい|芸|performance, trick
うつくしい|美しい|beautiful
すがた|姿|figure, appearance
こころ|心|heart, mind
とらえます II||catch
～に とって||for ～
